,id,text,date,RT,heart,hashtag
0,1079889419589554176,"they need a wake up call , I'm sick of #Microsoft's shit , they have gotten away with pissing me off and screwing me over for far too long!! , time something was done and soon!! satisfy me someone or someone's please , I will be successful at something don't get in my way!!",2018-12-31 23:57:55+00:00,0,0,#Microsoft
1,1079889061773496320,Its really an extension of the old #EmbraceExtendExtinguish tactic from #Microsoft.,2018-12-31 23:56:30+00:00,0,2,#EmbraceExtendExtinguish #Microsoft
2,1079888172635414528,"https://www.nzherald.co.nz/business/news/article.cfm?c_id=3&objectid=12184485 … #Fakenews The big mistake was allowing an ex #Microsoft employee, some would say Spy, or Saboteur to make executive decisions at #Nokia. There is not a single mention of #SymbianOS in this article. There was a turf battle, it was dirty- and no one has won.",2018-12-31 23:52:58+00:00,0,0,#Fakenews #Microsoft #Nokia #SymbianOS
3,1079886421295550465,"#Microsoft ALM Rangers lend their insights on developer performance, measurement, and growth. #devops #azure #VSTShttps://buff.ly/2CU39gR",2018-12-31 23:46:00+00:00,0,1,#Microsoft #devops #azure #VSTShttps
4,1079886154055536640,"Dímelo Tigre en general, pero especialmente el reconocimiento de #Microsoft y la participación en la convención... Pero Na' tú sabes, eso de los podcasts no iba a llegar a na' pic.twitter.com/hRCANshSpu",2018-12-31 23:44:57+00:00,0,3,#Microsoft
5,1079885472409608193,#VRSuit #WearableMuscleStimulator #VRGettingMoreReal #Microsoft https://lnkd.in/gprFxRy,2018-12-31 23:42:14+00:00,0,1,#VRSuit #WearableMuscleStimulator #VRGettingMoreReal #Microsoft
6,1079885411705675776,#Microsoft new and updated #Apps #Addins #Webparts for #SharePointhttps://lnkd.in/egzsjbw,2018-12-31 23:42:00+00:00,0,0,#Microsoft #Apps #Addins #Webparts #SharePointhttps
7,1079884736980570112,RT @proyectoTEAM_40: #Tecnología #Enseñanza #Aprendizaje #Motivación #Microsoft #Google #educación #flippedclassroom #learning #docentes #teachers #FelizAñoNuevo #facebook #twitter #instagram #apps #gamificación #moocs #Colombia #TIC #love #bestoftheday …pic.twitter.com/NgXUK7ZRRn,2018-12-31 23:39:19+00:00,1,0,#Tecnología #Enseñanza #Aprendizaje #Motivación #Microsoft #Google #educación #flippedclassroom #learning #docentes #teachers #FelizAñoNuevo #facebook #twitter #instagram #apps #gamificación #moocs #Colombia #TIC #love #bestoftheday
8,1079884175560314881,#Microsoft might update #Windows10 to enable custom quick actionshttps://buff.ly/2Cz9nkY,2018-12-31 23:37:05+00:00,0,1,#Microsoft #Windows10
9,1079883991803662337,#Microsoft #Apple #Amazon #Google #MVPBattle #MVP https://lnkd.in/e7zC_fC https://lnkd.in/emgspTu,2018-12-31 23:36:21+00:00,0,0,#Microsoft #Apple #Amazon #Google #MVPBattle #MVP
10,1079883803600969728,Ok microsoft please make your New year's resolution be to make your '100% complete' mean something is actually done. #Microsoft #Windows #Updates #Geek https://www.instagram.com/p/BsEgJ4ZnlVO/?utm_source=ig_twitter_share&igshid=z56b8iusez2b …,2018-12-31 23:35:36+00:00,0,0,#Microsoft #Windows #Updates #Geek
11,1079883482300645381,BREAKING: 2019: SENSATIONAL LEAKEDTEL.CONVERSATIONHCJR&FBI #breaking #wikileaks #fbi #cia #telephone #conversation #taped #listenin #privacy #secret #weird #google #microsoft #suspense… https://www.instagram.com/p/BWFkwWlFj4U/?utm_source=ig_twitter_share&igshid=14j2kve0hp479 …,2018-12-31 23:34:20+00:00,1,0,#breaking #wikileaks #fbi #cia #telephone #conversation #taped #listenin #privacy #secret #weird #google #microsoft #suspense
12,1079882456503853062,"RT @IAMCP_DC: Join us for our next monthly #IAMCP_DC mtg Tues, 8 Jan 5-8pm at #Microsoft Chevy Chase. Meet other partners & visiting Microsoft employees, learn about Microsoft, and get info to help you run your biz! Watch this channel!",2018-12-31 23:30:15+00:00,0,0,#IAMCP_DC #Microsoft
13,1079882456482889729,"RT @IAMCP_DC: Join us for our next monthly #IAMCP_DC mtg Tues, 8 Jan 5-8pm at #Microsoft Chevy Chase. Meet other partners & visiting Microsoft employees, learn about Microsoft, and get info to help you run your biz! Watch this channel!",2018-12-31 23:30:15+00:00,0,0,#IAMCP_DC #Microsoft
14,1079882456428355594,"Join us for our next monthly #IAMCP_DC mtg Tues, 8 Jan 5-8pm at #Microsoft Chevy Chase. Meet other partners & visiting Microsoft employees, learn about Microsoft, and get info to help you run your biz! Watch this channel!",2018-12-31 23:30:15+00:00,0,0,#IAMCP_DC #Microsoft
15,1079882408080625664,What would be The Best ? Leaving the Computer On or Shutting down it https://ecs.page.link/ZLvR #computer #laptop #desktop #tips #wikimonks #tricks #tech #howto #Technologies #trending #windows #Microsoft #Windows10pic.twitter.com/L3HIyP783a,2018-12-31 23:30:03+00:00,0,0,#computer #laptop #desktop #tips #wikimonks #tricks #tech #howto #Technologies #trending #windows #Microsoft #Windows10pic
16,1079882325515780096,BREAKING: 2019: SENSATIONAL LEAKEDTEL.CONVERSATIONHCJR&FBI #breaking #wikileaks #fbi #cia #telephone #conversation #taped #listenin #privacy #secret #weird #google #microsoft #suspense… https://www.instagram.com/p/BWFkwWlFj4U/?utm_source=ig_twitter_share&igshid=17a7w355tkegw …,2018-12-31 23:29:44+00:00,0,0,#breaking #wikileaks #fbi #cia #telephone #conversation #taped #listenin #privacy #secret #weird #google #microsoft #suspense
17,1079881491847528448,#wirtschaft #politik #natur #pferde #horse #horses #bio #tiere #pflanzen #tattoo #tattoos #tattooart #piercing #computer #microsoft #windows #windows10 #linux #ubuntu #apple #software #softwaredevelopment #softwaretesting #softwaredeveloper #app #taunus #harz #tips #technologyhttps://twitter.com/NPD_Brandenburg/status/1079309854102249472 …,2018-12-31 23:26:25+00:00,1,0,#wirtschaft #politik #natur #pferde #horse #horses #bio #tiere #pflanzen #tattoo #tattoos #tattooart #piercing #computer #microsoft #windows #windows10 #linux #ubuntu #apple #software #softwaredevelopment #softwaretesting #softwaredeveloper #app #taunus #harz #tips #technologyhttps
18,1079880816581361664,Check out the new post from the PowerApps team December updates for Microsoft PowerApps https://powerapps.microsoft.com/en-us/blog/december-updates-for-microsoft-powerapps/ … #CDS #CDM #Microsoft #PowerApps #Dynamics365,2018-12-31 23:23:44+00:00,0,0,#CDS #CDM #Microsoft #PowerApps #Dynamics365
19,1079880288669519872,#Microsoft is another company who needs a wake up call,2018-12-31 23:21:38+00:00,0,0,#Microsoft
20,1079880212547026947,Live! Come join me in the action! @twitchretweets @rapidevo #twitch #Slobs #newstreamers #dubs #rip #pcgaming #fortnite #microsoft #pcgamer #pc @shoutgamers #affiliate #Gaming #shoutgamers #new #weirdo #twitchprimehttps://twitch.tv/Swefty_?_sets=1546298480501 …,2018-12-31 23:21:20+00:00,0,2,#twitch #Slobs #newstreamers #dubs #rip #pcgaming #fortnite #microsoft #pcgamer #pc #affiliate #Gaming #shoutgamers #new #weirdo #twitchprimehttps
21,1079879162586976256,Azure Train The Trainer - 29th December 2018 Introduction to Dynamic Communites & how to get involved By @HashamNiaz #Dubai #Microsoft #Azure #MCTBuzz #PowerPlatformSummit #PowerBI #PowerBIUG #PUGKarachi #PowerApps #MicrosoftFlow #CDS @pbiusergroup @PowerAppsUG @flowusergrouppic.twitter.com/Cfz9PrSRoJ,2018-12-31 23:17:10+00:00,0,1,#Dubai #Microsoft #Azure #MCTBuzz #PowerPlatformSummit #PowerBI #PowerBIUG #PUGKarachi #PowerApps #MicrosoftFlow #CDS
22,1079878682452275200,【過去記事】 Windows7からWindows10にアップグレードした訳だが… http://ln.newsoku.blog/2kZCwvG #microsoft #os,2018-12-31 23:15:15+00:00,0,0,#microsoft #os
23,1079878423416311809,"#Microsoft .MSFTResearch reflects on 2018's shining moments exemplifying keen research vision, sharing of knowledge and our renewed commitment to open source. Happy New Year wishes to researchers worldwide as we look forward to a great year of research a… https://aka.ms/AA3q6ux",2018-12-31 23:14:13+00:00,0,0,#Microsoft
24,1079877186788753408,#Microsoft A key challenge to predicting response to inhibitor immunotherapies is modeling the interaction between the tumor and immune system. Microsoft researchers trained a model to predict immune response in patients based on features collected befor… https://aka.ms/AA3qgb6,2018-12-31 23:09:19+00:00,0,0,#Microsoft
25,1079876810144473088,Azure Train The Trainer - 29th December 2018 @HashamNiaz promoting Power Platform Summit Europe & early bird discount #Dubai #Microsoft #Azure #MCTBuzz #PowerPlatformSummit #PowerBI #PUGKarachi #PowerApps #MicrosoftFlow #CDS @pbiusergroup @PowerAppsUG @flowusergrouppic.twitter.com/kx3ZSPYIma,2018-12-31 23:07:49+00:00,0,2,#Dubai #Microsoft #Azure #MCTBuzz #PowerPlatformSummit #PowerBI #PUGKarachi #PowerApps #MicrosoftFlow #CDS
26,1079876582389489664,"@jimcramer First trade for 2019 Buy #Facebook, #Microsoft, #Salesforce, or #Boeing, you pick Happy New Year From Winnipeg Manitoba Canada",2018-12-31 23:06:55+00:00,0,0,#Facebook #Microsoft #Salesforce #Boeing
27,1079875970058850309,"Que el 2019 traiga las mejores oportunidades para todos nuestros socios, colaboradores y clientes. Muchas gracias por su preferencia y por todos los éxitos logrados. #OrionConsultores #SAP #Microsoft #empresainteligente #navidad #felizañonuevo #HappyNewYear2019 #Feliz2019pic.twitter.com/T2eFHzVQAT",2018-12-31 23:04:29+00:00,0,0,#OrionConsultores #SAP #Microsoft #empresainteligente #navidad #felizañonuevo #HappyNewYear2019 #Feliz2019pic
28,1079875603619332097,SharePoint Roadmap Pitstop https://twi.li/66Texp #Office365 #SharePoint #Microsoft pic.twitter.com/rU5iRUIUjO,2018-12-31 23:03:01+00:00,1,1,#Office365 #SharePoint #Microsoft
29,1079875119634366464,SharePoint Roadmap Pitstop: December 2018 http://bit.ly/2EWya4R #Microsoft,2018-12-31 23:01:06+00:00,0,0,#Microsoft
30,1079874896556158976,"Azure Train The Trainer - 29th December 2018 Concluded with great success, participants from Egypt, Ghana, India, KSA, Lebanon, Oman, Pakistan, UAE & UK attended the event #Dubai #Microsoft #Azure #MCT #MCTBuzz #MCTCommunity #PowerPlatformSummit #PowerBI #PowerBIUG #PUGKarachipic.twitter.com/uZEUChtXMD",2018-12-31 23:00:13+00:00,1,3,#Dubai #Microsoft #Azure #MCT #MCTBuzz #MCTCommunity #PowerPlatformSummit #PowerBI #PowerBIUG #PUGKarachipic
31,1079874701512634370,"Why does #microsoft always say ""today all day"" on all the holidays? is there a #holiday where it's only part of the day? https://www.instagram.com/p/BsEcA3flB4X/?utm_source=ig_twitter_share&igshid=1nbnuiwm1rjqd …",2018-12-31 22:59:26+00:00,0,1,#microsoft #holiday
32,1079874378865803265,#Microsoft Time to care more about customer service. The young gamers today are the ones you need to work on keeping them loyal to your products. Make it right now! 7 days is too long. @Microsofthttps://twitter.com/bartista/status/1079872506956337153 …,2018-12-31 22:58:09+00:00,0,0,#Microsoft
33,1079874290844160000,#Microsoft closes out 2018 as the top public company https://www.cnbc.com/2018/12/31/microsoft-finishes-2018-as-the-top-public-company.html …,2018-12-31 22:57:48+00:00,0,0,#Microsoft
34,1079873591758503937,Mancano solo 5 minuti al 2019 Vi ringraziamo per aver reso il 2018 un fantastico anno per #Microsoft. Non vediamo l'ora di ricominciare tutti insieme e di scoprire cosa ci riserva il futuro Buon anno a tutti! pic.twitter.com/Fy8Y7h6uDw,2018-12-31 22:55:02+00:00,6,25,#Microsoft
